depth,age,sum_pollen,pollen_ID_per,unknown_per,sum_objects_per,abb_pic_mix,abies_b,acer_mix,alnus_mix,betula_mix,corylus_c,eucalyptus,juni_thuya,npp_mix,picea_mix,pinus_b_mix,pinus_mix,pinus_s,quercus_r,tricolp_mix,tripor_mix
951,7521,908,77.1,22.91,132.93,33.15,12.78,1.32,0.22,1.43,0.00,0.33,2.09,32.93,20.37,30.73,37.33,6.61,1.21,2.53,2.64
954,7586,230,83.5,16.52,133.91,13.04,1.74,4.35,0.43,2.17,0.00,0.00,1.74,33.91,11.30,32.61,61.74,29.13,0.00,4.35,2.61
957,7650,822,86.7,13.26,118.49,6.57,1.09,1.82,0.36,2.43,0.36,0.73,3.53,18.49,5.47,55.11,70.56,15.45,0.36,2.19,4.50
960,7714,561,78.6,21.39,121.39,41.71,8.73,1.07,0.36,1.25,0.00,0.89,1.60,21.39,32.98,16.76,31.02,14.26,0.71,1.78,2.85
963,7778,751,77.5,22.50,146.74,34.09,11.19,1.07,0.27,1.33,0.00,0.40,2.00,46.74,22.90,29.03,37.68,8.66,0.67,1.73,2.66
966,7843,312,77.2,22.76,132.69,35.26,7.69,0.64,0.00,0.64,0.00,0.00,1.92,32.69,27.56,28.21,37.50,9.29,1.28,1.92,0.96
969,7907,441,81.9,18.14,163.72,20.41,4.31,1.81,0.23,2.49,0.91,1.13,1.59,63.72,16.10,34.01,52.83,18.82,0.45,2.27,5.44
972,7971,500,80.4,19.60,144.20,20.20,4.20,2.20,0.20,0.40,0.20,0.40,2.60,44.20,16.00,38.20,53.00,14.80,1.20,3.40,1.40
975,8035,505,77.0,22.97,139.41,27.72,10.10,1.58,0.40,1.19,0.00,0.40,3.56,39.41,17.62,33.07,41.98,8.91,0.20,1.78,2.97
978,8100,554,81.4,18.59,147.29,28.16,8.84,1.08,0.18,1.81,0.00,0.36,3.61,47.29,19.31,36.82,45.67,8.84,0.54,1.62,3.07
981,8164,429,78.6,21.45,150.12,23.54,5.83,2.56,1.17,5.36,0.23,0.93,5.36,50.12,17.72,20.98,38.69,17.72,0.70,3.26,9.32
984,8228,541,82.1,17.93,147.50,24.40,5.18,2.22,0.55,2.03,0.55,0.55,4.07,47.50,19.22,35.30,46.77,11.46,0.92,3.14,4.62
985,8249,480,80.0,20.00,148.96,14.17,3.75,2.71,0.83,4.38,1.04,1.04,6.88,48.96,10.42,26.25,47.92,21.67,1.04,3.75,9.38
987,8292,665,81.4,18.65,138.05,23.61,7.52,1.80,0.00,1.20,0.45,0.90,4.06,38.05,16.09,37.29,48.72,11.43,0.60,2.41,3.01
