depth,age,abb_pic_mix,abies_b,acer_mix,acer_r,acer_s,alnus_c,alnus_mix,alnus_r,betula_mix,corylus_c,eucalyptus,juni_thuya,npp_mix,picea_mix,pinus_b_mix,pinus_mix,pinus_s,quercus_r,tricolp_mix,tripor_mix,unknown
631,4578,41,7,3,2,1,1,4,3,25,3,4,14,123,32,76,144,22,5,9,38,28
633,4592,29,5,12,3,6,1,3,2,45,3,5,8,277,23,50,148,46,0,12,62,43
636,4612,46,6,10,3,6,0,3,1,16,6,9,15,212,36,65,180,32,3,13,39,48
639,4633,49,14,2,1,0,0,1,1,11,5,5,12,223,31,54,129,27,2,6,24,39
642,4654,42,4,5,3,1,1,2,1,12,4,3,3,127,34,85,170,26,3,8,22,26
645,4675,61,12,11,4,5,3,5,1,28,1,2,15,160,44,171,279,39,4,19,44,58
648,4696,39,12,7,4,3,2,4,2,22,3,7,13,306,22,95,192,37,3,15,44,53
651,4717,10,0,10,6,4,0,1,0,25,4,11,26,349,9,40,113,45,0,10,49,38
654,4738,64,19,2,1,1,0,1,1,8,3,3,16,232,40,52,135,36,1,3,18,44
657,4759,82,16,10,3,7,3,4,1,37,4,6,12,320,60,103,184,34,1,16,54,45
660,4780,61,12,5,1,4,2,3,0,8,1,1,11,169,45,104,191,39,0,5,20,39
663,4801,68,14,2,1,0,0,0,0,15,5,3,9,147,49,99,166,24,2,4,26,31
666,4822,62,18,20,14,6,3,8,5,40,6,6,25,328,39,150,238,29,4,29,66,57
669,4843,22,5,4,1,3,1,6,5,33,2,11,12,316,14,62,185,42,0,6,62,45
673,4872,82,14,4,2,2,1,2,1,28,0,4,15,111,59,120,258,49,4,10,36,38
675,4886,30,7,5,3,2,0,0,0,17,5,3,6,185,21,40,175,65,1,8,27,33
678,4907,42,9,10,5,5,4,4,0,25,5,7,22,252,26,90,236,49,3,16,45,47
681,4928,12,3,19,12,6,0,3,2,15,4,3,19,359,7,92,202,44,5,26,36,56
684,4950,51,7,34,18,15,7,19,12,82,26,26,49,321,42,268,472,67,8,53,182,130
687,4971,54,11,6,2,3,3,8,4,40,2,3,7,147,40,98,172,23,5,14,62,45
690,4992,51,10,9,3,5,1,3,2,31,3,12,14,262,34,63,162,38,0,10,54,44
693,5014,68,19,3,1,2,1,5,3,25,7,5,9,274,42,97,167,27,4,9,49,49
696,5035,25,5,8,5,2,3,7,4,58,8,14,16,186,18,114,210,30,7,16,104,53
699,5057,48,9,9,2,6,2,7,5,24,1,2,10,215,38,97,178,30,2,18,38,50
702,5078,42,5,32,13,16,5,9,4,12,12,10,39,339,33,193,353,49,12,50,49,62
705,5100,42,9,11,6,4,2,9,7,37,5,9,11,235,29,107,170,24,0,13,66,54
708,5121,31,9,11,6,3,1,2,1,33,6,5,20,258,17,70,163,39,1,14,58,40
711,5143,8,3,6,6,0,0,1,1,32,4,3,12,292,4,25,134,60,1,8,46,42
714,5165,84,20,6,3,3,1,2,1,36,7,5,14,325,56,114,263,58,1,11,55,60
717,5186,44,14,11,6,5,2,2,0,17,10,2,18,247,26,120,246,44,2,19,35,42
720,5208,119,38,6,2,3,0,2,2,26,5,3,10,222,68,102,192,30,5,14,40,76
723,5230,62,12,7,2,4,0,3,3,25,4,5,15,179,46,39,128,39,2,11,40,45
726,5252,34,10,6,0,6,1,4,2,25,7,1,11,249,19,25,108,39,0,6,39,30
729,5275,51,11,9,3,5,0,4,4,21,6,6,9,222,36,152,280,40,0,12,42,57
732,5297,73,19,2,2,0,1,2,1,13,0,0,12,157,50,59,113,23,1,4,16,23
735,5319,145,55,9,7,2,1,3,2,20,1,4,7,405,80,82,133,16,5,16,29,62
738,5342,82,18,6,0,5,0,5,5,11,0,3,16,235,53,81,113,6,2,11,24,40
741,5365,32,10,10,7,3,0,0,0,20,1,5,8,226,17,82,165,38,0,12,28,33
744,5388,60,13,2,1,1,0,0,0,5,1,1,4,86,40,131,198,20,1,6,9,22
747,5411,92,21,8,6,1,1,3,2,19,4,3,16,197,61,98,216,51,1,10,31,40
750,5434,38,4,4,2,2,1,4,3,24,6,2,7,141,33,43,105,29,0,6,37,27
753,5457,98,26,4,2,1,1,1,0,31,2,8,15,315,64,123,218,33,4,10,44,60
756,5481,48,7,6,4,2,0,0,0,12,1,4,9,136,36,40,115,28,2,8,17,32
759,5504,59,13,5,1,4,0,1,1,21,1,7,12,195,39,98,176,31,1,6,33,40
762,5528,74,20,1,0,1,4,8,3,16,1,5,11,270,42,121,178,22,2,6,35,54
765,5552,123,22,9,5,4,2,7,5,75,4,12,39,548,91,41,135,41,5,17,108,79
768,5576,156,42,5,2,2,0,4,3,21,4,1,13,220,101,76,137,19,2,8,31,62
771,5601,47,10,9,4,3,0,0,0,10,0,2,6,114,28,74,151,32,0,12,12,20
774,5625,27,0,3,2,1,1,3,2,18,8,5,17,239,21,26,195,106,0,7,44,53
777,5650,73,23,2,1,0,0,1,1,13,0,1,11,156,43,75,127,19,2,6,16,28
780,5675,69,18,7,5,1,1,4,3,12,3,3,8,145,42,53,151,42,1,11,24,39
783,5700,43,12,5,1,1,1,4,3,27,0,4,14,184,28,75,185,36,0,6,36,39
786,5726,43,9,5,1,2,0,1,1,20,0,1,14,334,25,25,88,20,3,8,23,38
789,5751,53,11,1,0,1,0,2,2,11,0,0,6,297,38,55,106,16,1,4,13,33
792,5777,45,10,4,3,0,0,1,1,24,2,3,12,396,27,53,113,21,2,8,32,41
795,5803,124,28,8,1,7,0,3,3,47,0,7,23,616,82,83,179,33,4,15,62,76
798,5829,26,9,8,5,2,0,4,4,16,8,3,14,420,15,34,103,34,0,12,35,43
801,5856,42,9,0,0,0,0,2,2,10,0,5,5,247,24,35,83,14,0,0,17,24
804,5882,53,19,5,2,2,1,3,2,20,2,4,7,278,29,71,120,14,4,11,34,54
